beta_FM	beta_MF	P_FBB	P_FNB	P_FTS	pmf	pmc	f_mf	f_mc	df_BB	df_NB	df_TS	dm_BB	dm_NB	dm_TS	Z	CCBB_FBB	CCNB_FNB	CFBB_CBB1	CFNB_CNB1	CCTS_FTS	f_FBB	f_FNB	f_FTS	t_gamma	eta_T
0.000763755	0.001236424	0.00377347	0.008492049	0.025316159	0.399240346	0.371682976	0.429626263	0.390125904	2.317276479	1.080915936	8.44792814	9.348148717	5.802449216	3.555933252	0.221455733	1087.692999	134.4155733	39.19368905	37.82293785	17.30926559	0.763276397	0.637676942	0.375329406	0.035110278	0.108048188
0.000676981	0.000770901	0.003139053	0.011027734	0.101973521	0.357918932	0.506151106	0.453164391	0.706005116	2.645593876	1.586155596	12.58381699	7.097122962	8.436850318	2.071656356	0.8546165	873.9174286	285.0900003	15.57686492	19.75853732	9.340207806	0.686195075	0.561737506	0.172483509	0.025886799	0.066566098
0.000747557	0.001308629	0.003146457	0.017211093	0.172602381	0.481088771	0.314262473	0.425459254	0.320745334	3.715552739	4.370064103	13.69065019	5.682207871	5.774194229	8.188454466	0.727288564	421.8285391	162.3803204	31.2105603	12.854564	3.760177316	0.532242337	0.531940917	0.252354051	0.028662221	0.06206451
0.000700885	0.001366137	0.005201102	0.010084196	0.193856863	0.21266979	0.513505783	0.292433662	0.410218795	1.942889093	2.294313989	5.633908254	8.108592645	8.3883779	8.654588528	0.708391787	327.3460477	284.7558039	22.52801028	13.96896333	4.092253742	0.425329629	0.676534676	0.171075251	0.024619852	0.033184652
0.000703654	0.000795892	0.007966208	0.018874396	0.107935519	0.200449505	0.57019791	0.299315834	0.584674376	5.945718957	4.228875332	14.6608682	6.789341706	9.641495694	3.355135274	0.819647911	786.4472032	176.9762359	34.85675302	32.94812028	13.62440973	0.802555083	0.674223556	0.319984014	0.038923215	0.117372291
0.000680288	0.000857969	0.005307905	0.00508631	0.001734042	0.236814822	0.412307677	0.271366963	0.329840747	4.58531776	4.516741402	12.81389497	5.003845546	8.554246926	4.504201243	0.885862034	936.9691039	167.6927425	23.05843301	17.99234238	4.517711209	0.493183748	0.441271059	0.19299071	0.034838381	0.103732348
0.00065585	0.001039084	0.008315518	0.01278679	0.139616189	0.337778808	0.448498662	0.464049168	0.652365728	2.076779544	1.512890229	5.45056119	6.536106121	6.152154375	2.768142835	0.274384552	557.731555	129.971601	36.7011211	38.87788756	12.27203364	0.584765101	0.645213564	0.305887576	0.031361911	0.057953751
0.00062752	0.000978852	0.006541806	0.028810823	0.116412568	0.423423785	0.410937916	0.357481373	0.323765329	3.781865721	3.207594771	7.422632888	9.428431638	7.300903125	7.116434966	0.643084844	849.1509805	63.28031829	47.51529508	44.03076041	9.315598502	0.813996832	0.433385254	0.233625777	0.027316782	0.010206336
0.000798788	0.000933446	0.005108216	0.010541862	0.053459251	0.187982918	0.280666117	0.295930981	0.345240111	2.263523274	1.828879959	11.61283915	7.713089626	7.668018322	9.978173633	0.593973097	769.2852459	133.924891	41.60174699	27.03386457	15.67700913	0.726691602	0.669697616	0.385855988	0.036084986	0.075052926
0.000754476	0.001221913	0.009141367	0.018973696	0.035170723	0.134710718	0.55107416	0.348872228	0.459275101	3.730453571	5.971835429	5.158063319	9.269171888	8.371077128	9.54555275	0.993035142	287.3819965	81.85420943	29.9968357	23.51050822	6.408191152	0.457055415	0.499899289	0.165089026	0.038888178	0.081433401
